ID,Nombre,Categoria,Marca,Precio,CodeBar
175,Dr. Pepper - 355ml,n/a,iShares MSCI EAFE Small-Cap ETF,$49.90,522-66-4636
176,Galliano,Finance,C&F Financial Corporation,$80.21,710-89-2147
177,Napkin Colour,Consumer Services,"Wheeler Real Estate Investment Trust, Inc.",$26.67,456-20-9976
178,"Lamb - Leg, Bone In",Consumer Services,"Xenia Hotels & Resorts, Inc.",$24.88,615-64-6551
179,Appetizer - Seafood Assortment,Energy,Permian Basin Royalty Trust,$72.78,318-77-6119
180,Grapes - Black,Health Care,Benitec Biopharma Limited,$82.08,398-98-2531
181,Phyllo Dough,Energy,"Blueknight Energy Partners L.P., L.L.C.",$54.93,853-18-0316
182,Onions - Cippolini,n/a,BLDRS Emerging Markets 50 ADR Index Fund,$65.71,158-37-2383
183,Container - Clear 32 Oz,Consumer Services,"Barnes & Noble, Inc.",$71.77,571-61-4128
184,Duck - Fat,Basic Industries,"Orion Group Holdings, Inc.",$48.39,645-22-6959
185,Cookie - Oatmeal,n/a,Crawford & Company,$72.21,465-59-5492
186,Muffin - Blueberry Individual,Health Care,BioMarin Pharmaceutical Inc.,$74.94,522-83-3434
187,Pepperoni Slices,Consumer Non-Durables,"Lamb Weston Holdings, Inc.",$22.76,402-21-6178
188,Grapefruit - White,n/a,"Kayne Anderson Midstream Energy Fund, Inc",$83.22,539-22-0810
189,Chicken - Ground,Finance,Capitol Acquisition Corp. III,$90.05,245-29-2753
190,"Wine - Red, Cooking",Basic Industries,"MYR Group, Inc.",$3.73,896-93-7880
191,Wine - Peller Estates Late,Basic Industries,Hecla Mining Company,$18.41,749-83-2992
192,"Garlic - Primerba, Paste",n/a,Bank of America Corporation,$65.89,705-27-0746
193,Smirnoff Green Apple Twist,Consumer Services,"Hemisphere Media Group, Inc.",$19.44,326-47-4121
194,Propel Sport Drink,Basic Industries,Silver Standard Resources Inc.,$61.40,198-41-5080
195,"Wine - White, Pelee Island",n/a,OFS Capital Corporation,$53.95,109-53-6154
196,"Cheese - Mozzarella, Buffalo",Technology,"Innovative Solutions and Support, Inc.",$86.12,751-70-9497
197,Duck - Breast,n/a,"CBL & Associates Properties, Inc.",$70.45,784-26-2510
198,"Radish - Black, Winter, Organic",Transportation,Southwest Airlines Company,$26.27,813-82-4376
199,Parsnip,Finance,CorVel Corp.,$54.95,261-13-1634
200,Bread Base - Gold Formel,Finance,"Live Oak Bancshares, Inc.",$47.93,145-74-9207
201,Bouillion - Fish,Finance,"Flagstar Bancorp, Inc.",$77.62,439-65-7538
202,"Jam - Raspberry,jar",Technology,"Oclaro, Inc.",$9.33,508-98-7239
203,Chips Potato Salt Vinegar 43g,n/a,Kayne Anderson Energy Development Company,$13.31,299-64-8871
204,Pepper - Yellow Bell,Miscellaneous,"Moneygram International, Inc.",$82.80,880-72-0644
205,"Juice - Apple, 500 Ml",Finance,"Prudential Financial, Inc.",$94.01,512-81-6188
206,Shiro Miso,Transportation,"CryoPort, Inc.",$13.17,878-79-9691
207,Sambuca - Opal Nera,n/a,Madison Covered Call & Equity Strategy Fund,$44.14,723-20-1686
208,Lid - 16 Oz And 32 Oz,n/a,"Lazard World Dividend & Income Fund, Inc.",$6.54,522-08-8744
209,Molasses - Fancy,n/a,"AG Mortgage Investment Trust, Inc.",$43.83,417-72-7608
210,Truffle Cups Green,n/a,Alpine Global Premier Properties Fund,$55.52,207-79-0169
211,Grapes - Black,Energy,Southwestern Energy Company,$64.44,250-21-7042
212,Tofu - Firm,Finance,"Civista Bancshares, Inc. ",$14.38,172-04-3456
213,Wine - Savigny - Les - Beaune,Health Care,Anavex Life Sciences Corp.,$29.22,463-35-3827
214,Artichokes - Jerusalem,Health Care,The Medicines Company,$56.35,486-28-5551
215,Chips Potato Swt Chilli Sour,Technology,"Intermolecular, Inc.",$31.88,325-31-2297
216,Apron,Finance,Lazard Ltd.,$7.86,532-73-9746
217,Bread - Hot Dog Buns,Consumer Services,"Evolent Health, Inc",$25.64,559-62-8575
218,Bread Ww Cluster,Finance,IBERIABANK Corporation,$68.89,316-26-9268
219,Fudge - Chocolate Fudge,Health Care,"Sage Therapeutics, Inc.",$7.13,429-10-2324
220,"Wine - White, Concha Y Toro",n/a,Brookfield Real Assets Income Fund Inc.,$50.04,611-59-0786
221,Wine - Chateau Aqueria Tavel,Finance,"Voya Financial, Inc.",$90.15,860-29-1373
222,Muffin Hinge - 211n,Capital Goods,Garmin Ltd.,$89.18,224-78-2274
223,Sour Puss Raspberry,Technology,LINE Corporation,$80.58,630-89-5324
224,Juice - Happy Planet,Consumer Non-Durables,"CUI Global, Inc.",$21.52,756-65-5231
225,Energy Drink Red Bull,Technology,AU Optronics Corp,$89.89,893-20-8550
226,Lemonade - Pineapple Passion,n/a,Davis Select Financial ETF,$44.47,371-01-6740
227,Beef - Striploin Aa,Consumer Non-Durables,"Energizer Holdings, Inc.",$12.19,768-55-1933
228,Wine - Taylors Reserve,n/a,BlackRock Income Investment Quality Trust,$57.71,769-16-0358
229,"Juice - Tomato, 48 Oz",Public Utilities,United States Cellular Corporation,$27.29,608-90-6325
230,Tea - English Breakfast,Energy,Whiting Petroleum Corporation,$51.65,315-97-4609
231,Mustard Prepared,Capital Goods,Elbit Systems Ltd.,$39.60,487-52-7761
232,Nescafe - Frothy French Vanilla,n/a,"ARMOUR Residential REIT, Inc.",$3.96,159-56-4360
233,Spring Roll Veg Mini,Health Care,"Momenta Pharmaceuticals, Inc.",$64.53,678-66-2128
234,Crab Meat Claw Pasteurise,Basic Industries,"SunCoke Energy, Inc.",$77.99,692-81-9400
235,"Beans - Turtle, Black, Dry",Public Utilities,"Waste Management, Inc.",$98.73,575-17-6206
236,Drambuie,Capital Goods,Altra Industrial Motion Corp.,$23.17,221-69-7455
237,"Juice - Orange, Concentrate",Finance,"ConnectOne Bancorp, Inc.",$0.61,826-85-8900
238,"Basil - Primerba, Paste",Finance,National General Holdings Corp,$93.14,849-41-2315
239,Pie Shell - 9,Consumer Services,"RCI Hospitality Holdings, Inc.",$21.77,256-97-9584
240,Butter Ripple - Phillips,Consumer Services,Arbor Realty Trust,$86.99,881-40-6974
241,Gatorade - Cool Blue Raspberry,Energy,Ideal Power Inc.,$85.33,170-26-2902
242,Ice Cream Bar - Oreo Sandwich,Energy,HollyFrontier Corporation,$70.99,848-86-2413
243,Cookies - Fortune,Public Utilities,"Telephone and Data Systems, Inc.",$60.56,501-75-8823
244,Wine - Fontanafredda Barolo,Health Care,Omeros Corporation,$30.20,809-38-8701
245,Wine - Blue Nun Qualitatswein,Technology,"Computer Programs and Systems, Inc.",$15.72,549-92-3688
246,Foam Espresso Cup Plain White,Consumer Services,"Bridgepoint Education, Inc.",$67.78,804-82-3291
247,Beef - Tenderloin,Health Care,Shire plc,$15.62,888-48-4577
248,Bread - Frozen Basket Variety,Consumer Durables,GP Investments Acquisition Corp.,$38.05,752-37-4555
249,Tea - Jasmin Green,Finance,Univest Corporation of Pennsylvania,$52.50,353-02-2047
250,Cheese - Bakers Cream Cheese,n/a,Vornado Realty Trust,$54.30,211-25-5153
251,"Juice - Grape, White",n/a,Gladstone Investment Corporation,$91.91,249-38-3301
252,Flavouring - Rum,Basic Industries,"Clean Harbors, Inc.",$63.14,784-60-5571
253,Dasheen,Consumer Non-Durables,Coty Inc.,$34.37,793-47-8391
254,Cookies - Amaretto,Consumer Non-Durables,"Calavo Growers, Inc.",$59.41,750-97-4355
255,Tomatillo,Finance,Credicorp Ltd.,$13.12,169-71-8403
256,"Wine - Red, Pelee Island Merlot",n/a,J P Morgan Chase & Co,$47.60,101-80-4683
257,Silicone Parch. 16.3x24.3,Technology,"Heidrick & Struggles International, Inc.",$74.03,185-58-0792
258,"Salmon - Atlantic, Skin On",Finance,"S&T Bancorp, Inc.",$26.49,613-08-3126
259,Wine - George Duboeuf Rose,Finance,UBS AG,$33.83,482-29-3554
260,Corn Kernels - Frozen,Finance,"The Navigators Group, Inc.",$25.25,412-01-0979
261,"Wine - Red, Pelee Island Merlot",n/a,Voya Asia Pacific High Dividend Equity Income Fund,$40.98,600-83-4063
262,Island Oasis - Strawberry,n/a,Urstadt Biddle Properties Inc.,$86.42,885-73-8405
263,Spaghetti Squash,Health Care,"Collegium Pharmaceutical, Inc.",$71.69,575-26-7275
264,Chocolate - Dark,Technology,"The Rubicon Project, Inc.",$28.00,735-38-2612
265,Grouper - Fresh,Energy,Semgroup Corporation,$29.58,568-37-7170
266,Puree - Passion Fruit,n/a,First Trust RiverFront Dynamic Emerging Markets ETF,$54.49,344-85-8760
267,Apple - Fuji,Capital Goods,Meritage Corporation,$58.82,355-79-3608
268,Apple - Custard,Consumer Durables,"Pioneer Power Solutions, Inc.",$60.43,488-77-8625
269,Potatoes - Yukon Gold 5 Oz,Finance,Evercore Partners Inc,$12.26,440-37-5149
270,Longos - Chicken Caeser Salad,Consumer Non-Durables,"Calavo Growers, Inc.",$37.31,796-55-7801
271,"Crush - Grape, 355 Ml",Finance,Avista Healthcare Public Acquisition Corp.,$48.77,682-12-4853
272,Wine - Gewurztraminer Pierre,Technology,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,$39.61,537-20-0131
273,Bread - Triangle White,Health Care,"ArQule, Inc.",$38.80,509-05-3263
274,Bread - Crusty Italian Poly,Technology,"Varonis Systems, Inc.",$79.37,466-64-4115
275,"Rice Pilaf, Dry,package",Consumer Services,"Conn's, Inc.",$26.29,715-59-7833
276,Bread - White Mini Epi,Consumer Durables,"Jason Industries, Inc.",$97.85,212-65-4806
277,Sauce - Balsamic Viniagrette,Health Care,"Protagonist Therapeutics, Inc.",$11.54,771-34-6032
278,"Juice - Pineapple, 48 Oz",Public Utilities,"Dominion Energy, Inc.",$80.26,607-65-8819
279,"Tart Shells - Sweet, 4",Finance,"Select Bancorp, Inc.",$32.48,613-52-6397
280,Tahini Paste,n/a,"Korea Fund, Inc. (The)",$80.30,163-85-3199
281,Mushroom - Portebello,Technology,"SPS Commerce, Inc.",$40.55,627-66-6728
282,Salmon Atl.whole 8 - 10 Lb,Health Care,Sanofi,$23.41,155-48-3876
283,"Bread - Sticks, Thin, Plain",Transportation,"Patriot Transportation Holding, Inc.",$37.25,470-98-3653
284,Chickensplit Half,n/a,Capital One Financial Corporation,$62.25,291-66-7867
285,"Yogurt - Banana, 175 Gr",n/a,"American Capital Senior Floating, Ltd.",$69.92,897-33-2063
286,Cotton Wet Mop 16 Oz,Basic Industries,Sociedad Quimica y Minera S.A.,$69.72,467-27-5045
287,Honey - Liquid,Consumer Services,"Hawaiian Telcom Holdco, Inc.",$38.75,537-80-4361
288,Shrimp - 150 - 250,Finance,Stifel Financial Corporation,$61.18,574-65-9574
289,Scallop - St. Jaques,Finance,"eHealth, Inc.",$65.56,791-59-2483
290,Alize Sunset,Energy,Ocean Rig UDW Inc.,$98.39,427-80-0041
291,Onions - Pearl,Consumer Services,Caesars Acquisition Company,$65.11,538-43-4657
292,Plaintain,Health Care,Verona Pharma plc,$20.32,882-71-5537
293,Beer - True North Strong Ale,Health Care,Motif Bio plc,$12.41,113-92-8649
294,Rye Special Old,Consumer Services,Central European Media Enterprises Ltd.,$36.99,308-23-5129
295,Ice Cream Bar - Hagen Daz,n/a,"Aberdeen Japan Equity Fund, Inc. ",$86.50,892-70-3592
296,Spinach - Frozen,Public Utilities,Fortis Inc.,$90.02,482-38-4503
297,Spice - Onion Powder Granulated,n/a,Alliance National Municipal Income Fund Inc,$31.47,103-09-7963
298,Huck Towels White,Capital Goods,Gorman-Rupp Company (The),$83.54,253-55-1584
299,Basil - Fresh,Basic Industries,"A-Mark Precious Metals, Inc.",$92.83,494-73-1279
300,Tuna - Fresh,Finance,Jensyn Acquistion Corp.,$90.16,263-78-7664
